YYYY,MM,DD,Q(mm/d),TMean(C),Precip(mm/day)
2016,5,23,1.505,19.6,38.7
2016,5,24,2.583,8.1,1.3
2016,5,25,2.143,7.5,0.5
2016,5,26,1.688,10.6,0.1
2016,5,27,1.303,12.3,1.4
2016,5,28,1.074,13.5,0
2016,5,29,0.815,6,0
2016,5,30,0.613,8.3,0
2016,5,31,0.455,11.6,4.7
2016,6,1,0.585,16.1,3.7
2016,6,2,0.61,13.6,2.5
2016,6,3,0.569,17.4,0
2016,6,4,0.421,14.5,0
2016,6,5,0.361,17.4,0
2016,6,6,0.361,14.5,0
2016,6,7,0.361,25.7,0
2016,6,8,0.361,28.9,0
2016,6,9,0.361,14.7,1.4
2016,6,10,0.362,19.9,1.4
2016,6,11,0.362,15.9,0
2016,6,12,0.362,16.4,0
2016,6,13,0.362,11.5,10.2
2016,6,14,0.708,30.4,23
2016,6,15,1.066,15.6,0
2016,6,16,0.809,18,5.6
2016,6,17,0.807,26.2,3.8
2016,6,18,0.7,22.8,1.9
2016,6,19,0.577,13.3,0
2016,6,20,0.427,14.2,0
2016,6,21,0.363,22.7,9.8
2016,6,22,0.469,12.5,0
2016,6,23,0.363,21.3,7.5
2016,6,24,0.422,19,3.5
2016,6,25,0.404,13.3,0
2016,6,26,0.363,12.6,0
2016,6,27,0.363,20.5,1.4
2016,6,28,0.363,15.7,0.4
2016,6,29,0.364,10.1,0
2016,6,30,0.364,13.4,0
2016,7,1,0.364,26.1,0
2016,7,2,0.364,9.7,0
2016,7,3,0.364,21,0
2016,7,4,0.364,11.8,4.4
2016,7,5,0.416,21.1,0.3
2016,7,6,0.364,19.6,3.8
2016,7,7,0.364,22.3,14
2016,7,8,0.526,8.7,0.5
2016,7,9,0.409,15.4,0
2016,7,10,0.365,25.2,0
2016,7,11,0.365,11.1,0
2016,7,12,0.365,24.6,0
2016,7,13,0.365,18,6.9
2016,7,14,0.43,20.4,3.2
2016,7,15,0.378,15.4,6
2016,7,16,0.404,23,0
2016,7,17,0.365,26.3,8.2
2016,7,18,0.397,19.2,6
2016,7,19,0.425,14.5,0.4
2016,7,20,0.366,16.4,0.1
2016,7,21,0.366,32.6,3.9
2016,7,22,0.366,14.9,1.3
2016,7,23,0.366,20.7,0
2016,7,24,0.366,22.1,0
2016,7,25,0.366,13.3,0
2016,7,26,0.366,16.5,5.2
2016,7,27,0.366,8.9,4.7
2016,7,28,0.419,10.6,0.6
2016,7,29,0.367,15.3,0
2016,7,30,0.367,27.9,27.2
2016,7,31,0.642,23,1.6
2016,8,1,0.517,13,0
2016,8,2,0.382,30.5,8.7
2016,8,3,0.422,24.3,1.1
2016,8,4,0.367,22.7,2.7
2016,8,5,0.367,12,0
2016,8,6,0.367,19.7,0
2016,8,7,0.367,18.5,0
2016,8,8,0.368,10.8,0
2016,8,9,0.368,11.2,0.3
2016,8,10,0.368,22,2.5
2016,8,11,0.368,16.5,4.3
2016,8,12,0.368,11.9,0.2
2016,8,13,0.368,12.7,3.6
2016,8,14,0.368,13.9,0
2016,8,15,0.368,20,0
2016,8,16,0.368,18.7,0
2016,8,17,0.368,21.5,2.1
2016,8,18,0.368,22.4,0.9
2016,8,19,0.369,22.9,0
2016,8,20,0.369,11.2,0.2
2016,8,21,0.369,15.3,0
2016,8,22,0.369,19.1,0
2016,8,23,0.369,15.2,0
2016,8,24,0.369,13,0
2016,8,25,0.369,27.7,7.7
2016,8,26,0.369,29.5,3.4
2016,8,27,0.369,25.7,5
2016,8,28,0.369,24.3,3.8
2016,8,29,0.37,10.2,8.7
2016,8,30,0.495,20.7,0
2016,8,31,0.37,12.9,0
2016,9,1,0.37,9.3,0
2016,9,2,0.37,23.8,0
2016,9,3,0.37,11.2,0
2016,9,4,0.37,12,0
2016,9,5,0.37,14.9,0
2016,9,6,0.37,20.3,5.4
2016,9,7,0.37,16.6,3.9
2016,9,8,0.37,21.6,20.8
2016,9,9,0.509,9.4,0.5
2016,9,10,0.394,10.2,0
2016,9,11,0.371,12.5,0
2016,9,12,0.371,14.8,0
2016,9,13,0.371,11,0
2016,9,14,0.371,15,0
2016,9,15,0.371,27.6,0
2016,9,16,0.371,19.1,0.8
2016,9,17,0.371,8.3,0
2016,9,18,0.371,13.2,0
2016,9,19,0.372,10.8,0
2016,9,20,0.372,8.2,0
2016,9,21,0.372,20.6,0
2016,9,22,0.372,21.5,0
2016,9,23,0.372,21.8,0
2016,9,24,0.372,12.5,0
2016,9,25,0.372,18.7,0
2016,9,26,0.372,9.8,0
2016,9,27,0.372,14.3,0
2016,9,28,0.372,6.9,0
2016,9,29,0.372,15.9,0
2016,9,30,0.373,15.7,0
2016,10,1,0.373,6.2,0.6
2016,10,2,0.373,13.4,4.6
2016,10,3,0.373,9.4,0.1
2016,10,4,0.373,7.7,0.1
2016,10,5,0.373,7.6,0
2016,10,6,0.373,14.1,0
2016,10,7,0.373,11.3,0
2016,10,8,0.373,9.9,3.1
2016,10,9,0.373,17.9,0
2016,10,10,0.373,12.1,0
2016,10,11,0.374,6.7,0
2016,10,12,0.374,8.2,0
2016,10,13,0.374,10.6,0
2016,10,14,0.374,11.4,0.2
2016,10,15,0.374,6.8,7.9
2016,10,16,0.382,7.7,9.6
2016,10,17,0.4,3.4,4.7
2016,10,18,0.388,4.9,0
2016,10,19,0.374,4.9,0.3
2016,10,20,0.374,3.8,0.1
2016,10,21,0.374,8.9,0
2016,10,22,0.375,4.1,0
2016,10,23,0.375,9.3,19.2
2016,10,24,0.611,11.1,1.3
2016,10,25,0.485,13.4,0
2016,10,26,0.375,6.2,0.2
2016,10,27,0.375,7.2,0
2016,10,28,0.375,5.6,2
2016,10,29,0.375,13,15.7
2016,10,30,0.58,11.2,2.3
2016,10,31,0.516,10.7,0.8
2016,11,1,0.402,9.7,18.4
2016,11,2,0.68,3.5,1.8
2016,11,3,0.623,7.4,0
2016,11,4,0.466,4.4,29.8
2016,11,5,1.004,2.2,0.2
2016,11,6,0.777,5.4,0
2016,11,7,0.586,6.1,0.5
2016,11,8,0.462,0.1,0.6
2016,11,9,0.376,-1.3,0
2016,11,10,0.376,3.6,0.1
2016,11,11,0.376,3.9,0
2016,11,12,0.376,0.2,0
2016,11,13,0.377,-1.6,0
2016,11,14,0.377,0.6,0
2016,11,15,0.377,4.3,0
2016,11,16,0.377,6.1,0
2016,11,17,0.377,11.9,2.9
2016,11,18,0.377,7.4,0.2
2016,11,19,0.377,6.3,3.7
2016,11,20,0.398,6.4,1.5
2016,11,21,0.377,6.2,0
2016,11,22,0.377,2.8,0
2016,11,23,0.377,2,1.3
2016,11,24,0.378,1.8,13.4
2016,11,25,0.669,-1.7,1
2016,11,26,0.502,0.1,2.4
2016,11,27,0.548,2.6,1.7
2016,11,28,0.543,3.9,1.9
2016,11,29,0.46,2.2,0
2016,11,30,0.378,0.8,22.9
2016,12,1,0.992,2.8,3.1
2016,12,2,0.862,0.8,1.3
2016,12,3,0.72,-1.8,0.1
2016,12,4,0.543,-2.7,2.4
2016,12,5,0.404,-0.9,0.9
2016,12,6,0.425,-4.2,2.3
2016,12,7,0.379,5.1,21.5
2016,12,8,1.182,3,0.5
2016,12,9,0.933,1.7,0
2016,12,10,0.709,0.7,5.1
2016,12,11,0.864,-0.9,2.1
2016,12,12,0.756,-0.7,6.7
2016,12,13,0.958,-2.8,1.1
2016,12,14,0.728,-9.2,1
2016,12,15,0.549,-3.8,0
2016,12,16,0.41,-1.7,5
2016,12,17,0.38,-4.9,0
2016,12,18,0.38,-6.2,4.6
2016,12,19,0.38,-18.4,0
2016,12,20,0.38,-23.9,1
2016,12,21,0.38,-8.9,0.3
2016,12,22,0.38,-4.8,17.2
2016,12,23,0.38,-3.4,4.7
2016,12,24,0.38,-10.8,0.8
2016,12,25,0.38,-14.2,1
2016,12,26,0.38,-13.5,1.6
2016,12,27,0.38,-18.5,0
2016,12,28,0.38,-8.1,0
2016,12,29,0.381,-1.1,0
2016,12,30,0.381,1,21.7
2016,12,31,1.856,6.1,0
2017,1,1,3.153,-0.6,3
2017,1,2,2.938,2.4,19
2017,1,3,3.569,0.8,1.2
2017,1,4,2.897,-1.2,1.1
2017,1,5,2.302,-2.9,0.7
2017,1,6,1.777,-3.7,3.9
2017,1,7,1.368,-5.4,1.1
2017,1,8,1.048,-3.8,1.4
2017,1,9,0.799,-1.5,0.6
2017,1,10,0.686,-1.6,0.5
2017,1,11,0.565,-2.3,1.1
2017,1,12,0.423,4.8,9.8
2017,1,13,1.776,8.2,14.3
2017,1,14,2.498,-4.6,0.6
2017,1,15,1.93,-9.6,0.1
2017,1,16,1.487,-9.2,0.8
2017,1,17,1.142,-6.5,0.9
2017,1,18,0.872,-7.6,3.2
2017,1,19,0.662,-5,3.6
2017,1,20,0.498,-9.9,0
2017,1,21,0.382,-20,0
2017,1,22,0.383,-26.5,9.3
2017,1,23,0.383,-8.1,0
2017,1,24,0.383,-12.8,1.9
2017,1,25,0.383,-5.5,4.1
2017,1,26,0.383,-15.2,0
2017,1,27,0.383,-10.7,0
2017,1,28,0.383,-16.1,0
2017,1,29,0.383,-11.6,0
2017,1,30,0.383,-6.2,0
2017,1,31,0.383,-10,0
2017,2,1,0.383,-6.6,0
2017,2,2,0.383,-8.7,0
2017,2,3,0.384,-2.6,0
2017,2,4,0.384,-4,0
2017,2,5,0.384,-2.4,0
2017,2,6,0.384,-1.1,0
2017,2,7,0.491,2.7,6
2017,2,8,2.558,0.7,0.2
2017,2,9,2.993,-2.5,3.1
2017,2,10,2.317,-9.1,0.7
2017,2,11,1.789,-5.2,1.4
2017,2,12,1.378,-1.3,0
2017,2,13,1.057,-6,2.6
2017,2,14,0.807,-1.8,15.5
2017,2,15,0.611,2,27.5
2017,2,16,4.109,-2.9,2.2
2017,2,17,3.187,-6.3,3.5
2017,2,18,2.468,-8.7,0.6
2017,2,19,1.908,-9.5,1.2
2017,2,20,1.47,-15.2,17.9
2017,2,21,1.129,-3.2,0.4
2017,2,22,0.863,-1.4,1
2017,2,23,0.656,-11.2,0
2017,2,24,0.494,-13.1,0
2017,2,25,0.385,-8.9,2.6
2017,2,26,0.385,-9.2,0
2017,2,27,0.386,-11.7,0
2017,2,28,0.386,-3.1,5.3
2017,3,1,0.386,-2,2.5
2017,3,2,0.386,-4,0.4
2017,3,3,0.386,-12.2,0.1
2017,3,4,0.386,-7.8,0
2017,3,5,0.386,-13.9,0
2017,3,6,0.386,-1,0.1
2017,3,7,0.386,1.6,6
2017,3,8,2.417,-6.6,1.2
2017,3,9,1.868,-12.2,2.1
2017,3,10,1.44,-9.8,1.4
2017,3,11,1.106,-6.9,2.1
2017,3,12,0.845,-7.5,6.1
2017,3,13,0.642,-10.1,0.1
2017,3,14,0.483,-8.7,0
2017,3,15,0.387,-11.6,0
2017,3,16,0.387,-3.1,0.9
2017,3,17,0.387,-1.5,0
2017,3,18,0.387,-3.3,0
2017,3,19,0.387,-3.1,4.3
2017,3,20,0.387,-0.9,3.2
2017,3,21,0.912,0.7,0
2017,3,22,1.718,-1.7,0
2017,3,23,1.323,-1.2,2.1
2017,3,24,1.015,0.3,0
2017,3,25,1.605,0.3,0
2017,3,26,2.152,-2.6,0
2017,3,27,1.662,-0.6,0
2017,3,28,1.81,3,0
2017,3,29,3.638,5.5,0
2017,3,30,6.585,6.4,0
2017,3,31,8.203,7.7,0.5
2017,4,1,6.461,9.3,3.9
2017,4,2,5.357,1,7.9
2017,4,3,5.571,1.1,4.5
2017,4,4,4.91,3.9,0
2017,4,5,3.813,4.7,0
2017,4,6,2.957,11.2,0.3
2017,4,7,2.327,11.3,1.2
2017,4,8,1.899,8,0
2017,4,9,1.465,9.6,0
2017,4,10,1.126,7.1,0
2017,4,11,0.861,5.5,0
2017,4,12,0.655,3.8,0
2017,4,13,0.494,7,0
2017,4,14,0.389,10.8,0
2017,4,15,0.389,5.8,0
2017,4,16,0.389,8.2,0
2017,4,17,0.389,15.1,0
2017,4,18,0.389,10.5,0
2017,4,19,0.389,17,0
2017,4,20,0.39,13.8,6.3
2017,4,21,0.757,4.1,0
2017,4,22,0.574,10.2,6.7
2017,4,23,0.79,5.5,26.3
2017,4,24,2.165,1.1,4.3
2017,4,25,2.193,2.9,0.7
2017,4,26,1.764,7.5,13.1
2017,4,27,2.381,4.7,1.7
2017,4,28,2.085,3.4,1.6
2017,4,29,1.781,5.1,1.2
2017,4,30,1.472,6.4,0.8
2017,5,1,1.185,6.3,1.8
2017,5,2,1.029,4.5,2.4
2017,5,3,0.99,3.6,1
2017,5,4,0.813,7,0
2017,5,5,0.618,9.1,0
2017,5,6,0.466,10,0.4
2017,5,7,0.391,6.3,0.5
2017,5,8,0.391,18.1,0
2017,5,9,0.391,17.2,0
2017,5,10,0.391,17.9,0.8
2017,5,11,0.391,12.6,0
2017,5,12,0.391,6.4,0
2017,5,13,0.391,4.3,7
2017,5,14,1.024,9,4.6
2017,5,15,1.129,10.3,0.5
2017,5,16,0.891,3.3,0
2017,5,17,0.678,6.4,0
2017,5,18,0.513,12.6,0
2017,5,19,0.392,5.8,0
2017,5,20,0.392,8.4,0
2017,5,21,0.392,20.7,0
2017,5,22,0.392,8.5,0.5
2017,5,23,0.392,12.2,0.4
2017,5,24,0.392,12,0.3
2017,5,25,0.392,19.3,0
2017,5,26,0.392,9,0.1
2017,5,27,0.392,20,2.9
2017,5,28,0.392,15.8,6
2017,5,29,0.466,10.6,0.1
2017,5,30,0.393,20.1,0
2017,5,31,0.393,8.8,0
2017,6,1,0.393,20.7,0
2017,6,2,0.393,12,0
2017,6,3,0.393,20.8,0
2017,6,4,0.393,12.9,0
2017,6,5,0.393,19.8,2.9
2017,6,6,0.393,31.2,0
2017,6,7,0.393,14.5,0.1
2017,6,8,0.393,36,0.2
2017,6,9,0.393,23.3,0.3
2017,6,10,0.393,18.1,0
2017,6,11,0.393,30.4,2.1
2017,6,12,0.393,27.3,1.6
2017,6,13,0.394,21.9,3.5
2017,6,14,0.394,15.1,15.1
2017,6,15,0.723,11.5,1.2
2017,6,16,0.602,19.3,3.3
2017,6,17,0.518,17.3,0.8
2017,6,18,0.406,13.2,0.5
2017,6,19,0.394,7.7,0
2017,6,20,0.394,9.2,0
2017,6,21,0.394,25.2,0.8
2017,6,22,0.394,15.3,0
2017,6,23,0.394,21,0
2017,6,24,0.394,22.3,0
2017,6,25,0.394,31.6,0
2017,6,26,0.394,34,0
2017,6,27,0.395,35.9,0
2017,6,28,0.395,14,0
2017,6,29,0.395,23.4,0
2017,6,30,0.395,17,0
2017,7,1,0.395,15,0
2017,7,2,0.395,10.5,0
2017,7,3,0.395,27,0
2017,7,4,0.395,14.9,1.2
2017,7,5,0.395,16.1,0.5
2017,7,6,0.395,17,0
2017,7,7,0.395,15,0
2017,7,8,0.395,10.3,0.1
2017,7,9,0.395,17,0
2017,7,10,0.395,18.8,0
2017,7,11,0.396,33.6,0
2017,7,12,0.396,15.7,0
2017,7,13,0.396,23.3,0
2017,7,14,0.396,39.6,9.8
2017,7,15,0.396,27.4,7.8
2017,7,16,0.396,35.1,70.4
2017,7,17,0.765,31.8,14.7
2017,7,18,0.918,28.8,4.9
2017,7,19,0.837,18.5,0
2017,7,20,0.638,14,0
2017,7,21,0.482,25.5,0.2
2017,7,22,0.396,33.8,0
2017,7,23,0.396,11.1,0
2017,7,24,0.396,21.9,8.7
2017,7,25,0.46,15.5,1.7
2017,7,26,0.407,16,13.1
2017,7,27,0.711,13.5,0.6
2017,7,28,0.564,19.3,0
2017,7,29,0.425,12.4,0
2017,7,30,0.397,26.5,0
2017,7,31,0.397,24,0.6
2017,8,1,0.397,34,0
2017,8,2,0.397,32.6,0
2017,8,3,0.397,33.9,0
2017,8,4,0.397,20.7,5.6
2017,8,5,0.409,25.5,0
2017,8,6,0.397,21,0
2017,8,7,0.397,28.6,0
2017,8,8,0.397,33.1,0
2017,8,9,0.398,12.1,0
2017,8,10,0.398,23.2,3.7
2017,8,11,0.398,11.3,1.4
2017,8,12,0.398,26.3,8.4
2017,8,13,0.398,28.1,4.1
2017,8,14,0.398,18.3,1.8
2017,8,15,0.398,15.7,0
2017,8,16,0.398,15.7,0
2017,8,17,0.398,18.2,0
2017,8,18,0.398,25.5,23.1
2017,8,19,0.534,17.9,21.4
2017,8,20,0.909,26.9,1.8
2017,8,21,0.734,31,0
2017,8,22,0.557,14.7,0.7
2017,8,23,0.441,19.9,0
2017,8,24,0.399,11.2,0
2017,8,25,0.399,24.7,0
2017,8,26,0.399,19.8,0
2017,8,27,0.399,21.4,11.6
2017,8,28,0.494,19.7,0
2017,8,29,0.399,15.7,0.6
2017,8,30,0.399,15.2,7.5
2017,8,31,0.494,19.8,0.9
2017,9,1,0.399,17,0
2017,9,2,0.399,22.9,0
2017,9,3,0.399,20.8,0
2017,9,4,0.399,13.3,0
2017,9,5,0.399,23.8,0
2017,9,6,0.399,27,0
2017,9,7,0.399,12.9,2.5
2017,9,8,0.4,14.2,0.6
2017,9,9,0.4,8.4,0
2017,9,10,0.4,16.6,0
2017,9,11,0.4,22.5,0
2017,9,12,0.4,19.4,0
2017,9,13,0.4,29.5,0
2017,9,14,0.4,23.1,4.8
2017,9,15,0.4,14.8,0.9
2017,9,16,0.4,20.1,12.1
2017,9,17,0.413,26.9,0
2017,9,18,0.4,17.8,0
2017,9,19,0.4,16.5,0
2017,9,20,0.4,12.6,0
2017,9,21,0.4,13.8,0
2017,9,22,0.4,11.8,8.6
2017,9,23,0.457,14.5,0
2017,9,24,0.401,18.3,5
2017,9,25,0.401,10.4,14.3
2017,9,26,0.768,11.9,3.9
2017,9,27,0.751,15.8,0
2017,9,28,0.572,17.9,28.1
2017,9,29,1.02,13.9,0.5
2017,9,30,0.794,10.9,0
2017,10,1,0.605,20.1,0
2017,10,2,0.458,8.8,0
2017,10,3,0.401,22.7,0
2017,10,4,0.401,14.4,0
2017,10,5,0.401,20.5,0
2017,10,6,0.401,19.6,0
2017,10,7,0.401,10,0.7
2017,10,8,0.401,9,0
2017,10,9,0.402,5.4,0
2017,10,10,0.402,8.3,0
2017,10,11,0.402,13.4,1.4
2017,10,12,0.402,13.5,3.2
2017,10,13,0.402,14.8,0.5
2017,10,14,0.402,10.2,0
2017,10,15,0.402,17.3,2.5
2017,10,16,0.402,7.2,0
2017,10,17,0.402,10.5,6.8
2017,10,18,0.414,9.3,0
2017,10,19,0.402,6.4,0.5
2017,10,20,0.402,2.5,0.1
2017,10,21,0.402,5,0
2017,10,22,0.402,5.4,15.9
2017,10,23,0.51,3.6,1.1
2017,10,24,0.415,6.4,5.8
2017,10,25,0.417,4.6,0.2
2017,10,26,0.403,4.3,0.2
2017,10,27,0.403,6.5,0
2017,10,28,0.403,3,0
2017,10,29,0.403,3.5,0
2017,10,30,0.403,7.1,0.6
2017,10,31,0.403,8.1,4.1
2017,11,1,0.41,11,2.5
2017,11,2,0.403,3.8,0
2017,11,3,0.403,9.7,0
2017,11,4,0.403,11.2,0
2017,11,5,0.403,6.3,2.8
2017,11,6,0.403,10.5,2.8
2017,11,7,0.403,10.7,0
2017,11,8,0.403,9,13.5
2017,11,9,0.584,12.2,13.3
2017,11,10,0.719,1.8,0.5
2017,11,11,0.57,4.2,0
2017,11,12,0.431,6.7,1.1
2017,11,13,0.404,7.1,0
2017,11,14,0.404,5.2,4.7
2017,11,15,0.419,8.6,32.1
2017,11,16,1.452,4.1,0.6
2017,11,17,1.15,-3.6,5.6
2017,11,18,0.883,-4.4,1.8
2017,11,19,0.676,1.4,0
2017,11,20,0.742,3,0
2017,11,21,0.566,1.7,0.3
2017,11,22,0.449,-3.8,0.3
2017,11,23,0.404,-2.9,3.1
2017,11,24,0.404,-9.8,11.7
2017,11,25,0.404,-13.4,8
2017,11,26,0.405,-2.7,0.2
2017,11,27,0.405,-2.2,2.2
2017,11,28,0.405,8.8,25.2
2017,11,29,2.328,5.5,2.2
2017,11,30,1.999,-1,0.8
2017,12,1,1.584,-0.5,1.5
2017,12,2,1.382,-1.9,1.3
2017,12,3,1.065,-7.1,2.7
2017,12,4,0.817,-7.6,1.2
2017,12,5,0.624,-7.5,1.5
2017,12,6,0.474,-5.9,1
2017,12,7,0.405,-7.7,1.6
2017,12,8,0.405,-9.5,9.8
2017,12,9,0.405,-5,0.5
2017,12,10,0.405,-7.8,1.1
2017,12,11,0.405,-4.8,2.1
2017,12,12,0.406,-13.1,0
2017,12,13,0.406,-11.2,0
2017,12,14,0.406,-10.1,0
2017,12,15,0.406,-2.3,3.9
2017,12,16,0.406,-3.6,1
2017,12,17,0.406,-3.7,0.2
2017,12,18,0.406,-6.7,1.8
2017,12,19,0.406,-5.3,0.4
2017,12,20,0.406,-8.1,3.4
2017,12,21,0.406,-6.3,1.2
2017,12,22,0.406,-4.5,0.6
2017,12,23,0.406,-0.3,1.5
2017,12,24,0.691,2.2,3.3
2017,12,25,1.45,2.3,10.2
2017,12,26,2.474,-0.9,0.2
2017,12,27,2.118,-1,0
2017,12,28,1.813,-0.8,9.6
2017,12,29,2.184,0.2,1.1
2017,12,30,1.953,-2.9,1.5
2017,12,31,1.511,-3,2.7
